senseid	   sense	sense_coll	sense_trans	headid
41040101			бордооны хүрэн замаг, бөмбөлөгт хүрэн замаг	410401
41040301	GB (for dog)		нохойн хонуур	410403
41040302	for several dogs		нохойн хороо, саравч	410403
41040303	establishment		нохой маллах газар	410403
41040501	keep			410405
41040701	GB		замын хажуу	410407
41041001			начин шонхор	410410
41041101	GB		кетчуп	410411
41041401	locking device		түлхүүр	410414
41041402	for clock		чих	410414
41041403	, technology ,		түлхүүр	410414
41041404	on computer		товчлуур	410414
41041405	on piano, oboe, flute		даруул	410414
41041406	on phone		товч	410414
41041407	FIG (vital clue)		түлхүүр, учиг	410414
41041408	(explanatory list) (on map)		таних тэмдэг	410414
41041409	to abbreviations, symbols		тайлал	410414
41041410	for code		түлхүүр	410414
41041411	(answers) (to test, riddle)		хариу	410414
41041412	, school ,		хариу	410414
41041413	, music ,		хөг эгшиглэгээ	410414
41041414	, geography ,		шүрэн арал	410414
41043901			хээрийн ногоон хувцас	410439
41043902	in khaki		хээрийн ногоон хувцастай	410439
41044101			кибуц	410441
41044301	of person ,donkey, horse, footballer		өшиглөх	410443
41044302	of cow, goat, swimmer		тийрэх	410443
41044303	thrill		тэгж, ингэж баясах	410443
41044304	of firearm		тийрэх	410443
41044305	strength, zest		хөөр	410443
41045901	child		хүүхэд	410459
41045902	youth		залуу	410459
41045903	young goat		ишиг	410459
41045904	goatskin		савхи	410459
41047601	in hunting		алах, амь хороох	410476
41047602	slaughter of animals		алах, нядлах	410476
41047603	, literal ,		амьтан алах үед байлцах	410476
41047604	FIG		өрмийг нь хамалцах	410476
41047605	prey		ан, ангийн олз	410476
41048701			шатаах зуух	410487
41049401			төрөл төрөгсөд	410494
41052301			мухлаг, ТҮЦ	410523
41052302	GB , telecommunication ,		утасны бүхээг	410523
41052401			унтах	410524
41052701			Кыргызтан, Хиргис	410527
41052901			үнсэлт	410529
41053501	implements		багаж хэрэгсэл	410535
41053502	gear, clothes		хувцас хэрэглэл	410535
41053503	parts for assembly		эд анги	410535
41053504	, military ,		цэргийн хувцас тоноглол	410535
41055701	, zoology ,		киви	410557
41055901			хулгайн дон	410559
41056301	kilometres per hour		километр/цаг	410563
41056401	dexterity		ур чадвар, дадал	410564
41056402	talent		дүй, эв дүй	410564
41056701		dougt	нух	410567
41056702		flrsh	баз	410567
41058301			богино шалбуур өмд	410583
41060401	of door, drawer		бөөрөнхий бариул	410604
41060402	of cane		толгой	410604
41060403	on bannister, furniture		бундуу толгой	410604
41060404	control button		товч, товчлуур	410604
41060405	of butter etc		жижиг хэрчим	410604
41064401	of person		хурууны үе	410644
41064402	on animal		шивнүүрийн үе	410644
41064403	, culinary , (of lamb, mutton, pork, veal)		шийр	410644
41065001			нүдний харандаа	410650
41065101	US		юмтай	410651
41065201			Коран судар	410652
41065701	RELIG		кошёр	410657
41065702	FIG (legitimate)		номоороо байна	410657
41065801	, pejorative ,		зусард	410658
41065901	kilometres per hour		километр/ цаг	410659
41066201			алдар, алдар цуу	410662
41066301			алтан зүржгэнэ	410663
41066401	language		күрд хэл	410664
41066701			кувейт хүн	410667
41067001			киловатт/цаг	410670
41074901			сахиус	410749
41081001	on floor		хивсэнцэр	410810
41081002	for wiping feet		шалавч	410810
41081003	on table, heatproof		жийрэг тавиур	410810
41081004	ornamental		жижиг бүтээлэг	410810
41087001		song	гунигтай	410870
41087002		person	гуньсан	410870
41087801			тэрс үзэлтэн	410878
41088001	, pejorative , (sentimental)		нялуун	410880
41088002	insipid		улбагар	410880
41088101			урт даашинз	410881
41088102			урт банзал	410881
41088901	possibility		Vicc болзошгүй, Vicc магадгүй	410889
41088902	permission		Vicc болох	410889
41090201	puzzle		орооцолдоон, сүджилдээн, будилмаар юм	410902
41090202	of pipes		будилмаар бөөн хоолой	410902
41090401	Master of Business Administration		Бизнесийн Удирдлагын ухааны магистр	410904
41090501	Member of the Order of the British Empire		Британий эзэн хааны тавдугаар зэргийн одонгийн шаг	410905
41090701			жинхэнэ	410907
41091101			зөгийн балтай сархад	410911
41095101			Мекка хот	410951
41095901			медаль	410959
41101901			номхон дуулгавартай	411019
41102801			мега	411028
41103501			дүйнгэ байдал, уйтгар, гунигт	411035
41105601	of group, commission		гишүүн	411056
41105602	, politics , (of parliament)		депутат, гишүүн	411056
41105603	, construction ,		хэсэг	411056
41105604	, mathematics , (of set)		элемент	411056
41105605	limb		тулгуур эрхтэн	411056
41110101			Европарламентийн гишүүн	411101
41110201		ship, nation, law	худалдааны	411102
41110202		system, theory	меркантилист	411102
41114101	of sting		утсан тор	411141
41114102	of metal		төмөр тор	411141
41114103	net		торны нүд, торны нүх	411141
41114104	, technology , TOP		торонд	411141
41115801		disease, needs, stress	бодисын солилцооны, метаболизм	411158
41120701	of cat		мяу, мяу	411207
41120702	seagull		гуагалаан	411207
41121001	person		Мексик хүн	411210
41121701	GEN		завсар, давхар	411217
41121702	, theatre , US		бельэтаж	411217
41121703	GB		тайзны доод давхар	411217
41121801			монсиньор	411218
41122001			Британий Сөрөг Тагнуулын Алба	411220
41122101			Британий тагнуулын алба	411221
41122201			мяу	411222
41122501			Гэгээн Михаилын өдөр	411225
41125001			дундуур, дунд үед	411250
41131301			гомдох, гоморхох	411313
41131401	indicating possibility		Vicc магадгүй	411314
41131402	indicating unrealized possibility		Vicc болох	411314
41131403	in sequence of tenses, in reported speech		Vicc магад	411314
41132401	microphone		микрофон	411324
41132501	Gb		хар пиво	411325
41138501	art		үггүй жүжиглэх урлаг	411385
41138502	perpormance		үггүй жүжиг	411385
41138503	perpomer		үггүй жүжиглэгч	411385
41148701			гайхамшиг	411487
41149501	FML		золгүй явдал	411495
41159401	child		хөөрхий нялх амьтан	411594
41159402	animal		хачиг	411594
41159403	slightly		ялимгүй томдох	411594
41159901	GEN , culinary ,		холимог	411599
41159902	, music ,		бичлэг тохируулах	411599
41162401	(of person) (expressing regret)		халаглах дуу	411624
41162402	expressing pain		ёололт	411624
41162403	expressing suffering		гаслах дуун	411624
41162404	expressing pleasyre		гэнших дуу	411624
41162405	of wind		исгэрэлт	411624
41162406	complaint		гонгинох, гомдоллох	411624
41162701	crowd		багширсан олон хүмүүс	411627
41162702	gang		овоорсон хүмүүс, бөөгнөрсөн хүмүүс	411627
41162703	group		бөөн хүн, бүлэг хүн	411627
41162704	messes		борчуул	411627
41162705				411627
41162801	Mafia	boss, leader	мафийн	411628
41162802		voilence, hysteria	олны, нийтийн=	411628
41163801	coffee		мокка кофе	411638
41163802	flavour		шоколадтай мокка кофе	411638
41168901	magnate		магнат, нөлөө бүхий чухал хүн	411689
41168902	in skiing		цанаар хуйларсан хунгар	411689
41169001			Мохамед	411690
41169501		soil	чийглэг	411695
41169502		cake	зөөлөн	411695
41169503	with sweat	hands	хөлстэй	411695
41169504		skin	чийг даасан	411695
41170101			араа шүд	411701
41171401	instant		агшин, хором	411714
41171402	point in time		цаг, мөч	411714
41171403	good patch		цагтаа ...-ж байсан	411714
41171404	importance , literary ,		туйлын чухал	411714
41172001			эзэн хаан, хатан хаан	411720
41178601			мөөр	411786
41181201	for floors; of cootton		даавуун туужуур	411812
41181202	of sponge		сархинцган туужуур	411812
41181203	for dishes		тогооны угаалтуур	411812
41181204	hair		өтгөн сэгсгэр үс	411812
41181901			сургамж, сургаал	411819
41188201	, literal ,		шигтгэмэл зураг, мозаик	411882
41188202	FIG		элдэв янзын, төрөл бүрийн юм	411882
41190201	GB , automobile ,		автомашины техникийн үзлэг	411902
41197101	, literal ,	plastic, clay	хэвэнд оруул	411971
41197102		sculpture, share	хэлбэр гарга	411971
41197103	FIG		төлөвшүүл	411971
41201001	GEN		хөдөлдөг	412010
41201002	, law ,		хөдлөх	412010
41203501		grass, lawn	хярга, тайр	412035
41203502		hay	хад	412035
41203901			нэг галлон шатахуунаар явах зай	412039
41204001			бээр/ цаг	412040
41204301			Хатагтай	412043
41204501	, university ,		шинжлэх ухааны магистр	412045
41204601	to a considerable degree		хавьгүй, хамаагүй	412046
41204602	often		байнга, дандаа, үргэлж	412046
41204603	nearly		бараг ойролцоо	412046
41206101			шавар, шавар шалбааг	412061
41207701			гарын дугтуй, гарын углааш	412077
41208101	for tea, coffee		аяга	412081
41208102	for beer		сэнжтэй аяга	412081
41208103	contents		аяга дүүрэн юм	412081
41208104	face		хоншоор	412081
41208105	GB fool		тэнэг толгой	412081
41208701			Мухаммед	412087
41208801			мужахидууд	412088
41208901			мухлаг, хар цагааны эрлийз хүн	412089
41213801	GB		ээж	412138
41214601		person	шал шал зажил	412146
41214602		animal	шал шал хив, шал шал зажил	412146
41215301			ханын зураг	412153
41215302	in cave		сүг зураг	412153
41217001	in arm, leg etc, tissue		булчин	412170
41217002	FIG		хүч тэнхээ, бяр	412170
70000101			нүүн суурьшигч	700001
70000201	of money, food, profits, blame	success etc	хувь хэсэг	700002
70000202	, finance ,		хувьцаа	700002
70000203	, argiculture ,		анжисны хошуу	700002
70000901			долоо	700009
70003201			оё	700032
70003901		letter	s,S	700039
70003902		saint	гэгээн,ариун	700039
70004101	jewish		бямба гариг	700041
70004102	christian		 ням гариг	700041
70005101	, anatomy ,		уут	700051
70005102	, botany ,		гэр,уут	700051
70005103	, zoology ,		уут	700051
70007301	unhappy		гунигтай, гансарсан, уйтгартай	700073
70007302		person	тэгэхдээ ингэхдээ уйтай байх	700073
70007303	unfortunate	fact, truth, duty	гунигт, гаслантай	700073
70007304	deplorable	attitude, situation	найгүй, тусгүй	700073
70008601		stamped addresed envelope		700086
70008701			сафари	700087
70010401	beam		гулзай	700104
70010402	mattress		шалчий	700104
70010403	tent		хотой	700104
70010404	rope		хуйвар	700104
70010405	flesh		шулбай	700104
70010406	weaken		хүний зориг мох	700104
70010407	curency	fall	уна	700104
70011401			Сахаар	700114
70011501	say			700115
70013401	purpose		зарчмын үүднээс	700134
70013402	benefit		хүний тусын тулд	700134
70013403	in anger in plea		тэнгэр бурхныг дээдлээч	700134
70013501			шалиг, завхай	700135
70017601	identical		ижилхэн, адилхан	700176
70017602	in a similar manner		ийм маягаар, янзаар	700176
70017603	likewise		ингэж	700176
70017604	for emphasis, very		яг	700176
70017605	unchanged		хэвээрээ, байдгаараа	700176
70018401	clinic		сувиллын газар	700184
70018402	in school		сувиллын өрөө	700184
70022901	liqiud in a plant		ургамлын шүүс	700229
70022902	stupid person		гэнэн тэнэг амьтан	700229
70023401			сарацин	700234
70024201	abbrev=Special Air Service		агаарын тусгай хүчин	700242
70024701	sit			700247
70028201	, culinary ,		сүмс	700282
70028202	impudence		цадиггүй үг	700282
70029001	zool		таргас дун	700290
70029002	culin		сам хорхой, хясаа	700290
70029003	in sewing		долгиолсон хүрээ	700290
70033901	, cinema ,		кино зохиол	700339
70033902	FIG hypothetical situation		төсөөлөл зураг	700339
70035201	admin, comm, tech		график төлөвлөгөө	700352
70035202	projected plan		хөтөлбөр	700352
70035203	timetable		цагийн хуваарь	700352
70035204	, commerce , law , list		жагсаалт	700352
70035205	of repayments		грациз	700352
70035206	to contract		хавсралт	700352
70039601	med		суудлын мэдрэлийн эмгэг, шидрээс	700396
70040601	mock		тохуутай өгүүл	700406
70040602	GB eat		ховдоглон ид	700406
70045901	search		тэмтэр	700459
70045902	scrape		самард	700459
70055901		ship	хурдал	700559
70055902		cloud	тэнгэрээр хуйлран нүү	700559
70057901			гар хадуур	700579
70058201	, politics , abbrev		Social Democratic and Labour Party	700582
70058401	GEN		далай, тэнгис	700584
70058402		travel, send	далайгаар, усан замаар	700584
70058403	as career		усан цэргийн албанд орох	700584
70058404	join ship		хөлгийн багт орох	700584
70058405	sailor's life		далайчны амьдрал	700584
70066701	written in full as = second		сек	700667
70066702	short instant		хором	700667
70073901		person	намбатай, тохитой	700739
70073902		lifestyle, pace	тайван, тогтуун	700739
70074801	perceive, look at		хар, ажигла	700748
70074802	visit	expert, country	оч	700748
70074803		building	очиж үз	700748
70074804	receive		хүлээж ав	700748
70074805	understand	advantage	мэд	700748
70074806		problem, joke	ойлго	700748
70074807	consider		үз, бод, тооц	700748
70074808	make sure		санаа тавь, хариуцаж үлд	700748
70074809	witness		үз	700748
70074810	experience	poverty , war	туул	700748
70074811	accompany		дөхүүлж өг	700748
70077701	, anatomy , zoology ,		үечлэгдсэн хэсэг	700777
70077702	, linguistics ,		бүрдүүлэгч хэсэг	700777
70077703	, computing ,		муж	700777
70077704	of orange		хумс	700777
70077705	of economy		салбар	700777
70077706	of population, vote, market		хэсэг	700777
70078201			газар хөдлөлийн, чичирхийллийн	700782
70079001			хааяа, хаа нэг	700790
70093301			утгын, утга зүйн	700933
70102201			салдаг	701022
70114001	ogf book, film, play		үргэлжлэл	701140
70114002	result		үр дагвар	701140
70114501			Серби	701145
70128401		proportion	нэлээд, овоо	701284
70128402		amount	ихээхэн	701284
70128403		fortune	томоохон, ихээхэн	701284
70128404		house, field, town	нэлээн том	701284
70128701	ice		тэшүүр	701287
70128702	roller		дугуйт тэшүүр	701287
70128703	fish		дэвээхай загас	701287
70129601	of wool		ороомог, ороолт	701296
70131601	for snow		цана	701316
70131602	for water		усны цана	701316
70131603	, aviation ,		онгоцны цана	701316
71000001	VTR	clothes,linen	угааж индүүд	710001
71000002	FIG	money, profits	угаа	710001
71000701	GB, abbrev=lavatory		бие засах газар	710007
71001701	body of rules		хууль	710017
71001702	by ~		хуулийн дагуу	710017
71001703	court of ~		шүүх	710017
71001704	, law , rule		дүрэм журам	710017
71001705	scientific principle		хууль	710017
71001706	police		цагдаа	710017
71001707	academic subject		эрх зүй	710017
71003901		government	сул дорой	710039
71003902		security	найдваргүй, сул	710039
71004201			lie III	710042
71005501			залхуур	710055
71006301	abbrev=liquid crystal display		тунамал болор дэлгэц	710063
71006401	winning position		хошуучлах, түрүүлэх	710064
71006402	ammount by which one is winning		Nici түрүүлж явах	710064
71006403	clue		учиг	710064
71006404	, theatre , cinema , role		гол дүр	710064
71006405	in newspaper		гол материал	710064
71006406	, electricity , wire		залгуур утас	710064
71006407	GB, for dog		уяа	710064
71015101	pret, pp lent , commerce ,		зээл олго	710151
71017701			гарах, мордох	710177
71017901	, pejorative ,		хормойн донтон	710179
71019101	lead			710191
71019401			нөмөр нөөлөг	710194
71019402	in the ~ of		Vicf нөмөр	710194
71020201	leave			710202
71021601	of person, animal, horse		хөл	710216
71021602	of furniture		хөл	710216
71021603	, culinary , of lamb, veal, poultry, pork, frog, venison		гуя	710216
71021604	of trousers		гуя	710216
71021605	of jouney, race		замын хэсэг	710216
71025501	GB , postal service ,	Leiccestershire	Лейцестершайр	710255
71026201	of the genus Lemmus		хөвхөлжин	710262
71029201	star		арслангийн орд	710292
71029202	name		Лео	710292
71029701	, medicine ,		уяман өвчтэй хүн	710297
71029702	FIG		салхин доогуур нь гармааргүй хүн, хавьтмааргүй хүн	710297
71030001			лэсби (ижил хүйстэнтэйгээ нөхцөлддөг эмэгтэй)	710300
71031402	allow		зөвшөөр, боломж өг	710314
71034301			цус цагаан эстэх, цусны хорт хавдар	710343
71034401	GEN , school ,		төвшин	710344
71034402	degree, of pollution, noise		төвшин хэмжээ	710344
71034403	of unemployment		төвшин	710344
71034404	of spending		хэмжээ	710344
71034405	of satisfaction, anxiety		байдал	710344
71034406	position in hierarchy		зиндаа, дэв, төвшин	710344
71036301		of joke, remark	завхай, зайдан	710363
71036302		person, expression	садар самуун	710363
71036501			үгийн сангийн	710365
71036901	, law ,		үүрэг харуицлага	710369
71036902	FIG, drawback		дараа, тээр	710369
71037701	crime		гүтгэлэг (хэвлэлд нийтлэгдсэн)	710377
71037702	article, statement		гүтгэсэн мэдэгдэл,гүтгэсэн нийтлэл	710377
71037703	slander		гүжирддэг	710377
71040301	louse			710403
71041901	cover		таг, хавхаг	710419
71041902	eyelid		аньсага, зовхи	710419
71042101			худал үг	710421
71043801	pl lives, as opposed to death		амьдрал	710438
71043802	birth to death		амьдрал	710438
71043803	animation		цог золбоо, хийморь	710438
71043804	FIG		цог золбоотой болох, сэргээд явчих	710438
71043805		fictional character	золбоо орох	710438
71043806		party	хөгжилтэй болох,хөхүүн болох	710438
71043807	social activity, lifestyle		амьдрал	710438
71043808	useful duration, of machine, vechicle, product		эдэлгээний хугацаа	710438
71043809	of product		хэрэглэх хугацаа	710438
71047901			холбоос	710479
71051201	in the same manner as		шиг, лугаа  адил,лүгээ адил	710512
71051202	similar to, resembling		адилхан	710512
71052801	of the genus Syringa, esp S. vulgaris		голтборын цэцэг	710528
71053601	, anatomy ,		мөч	710536
71053602	of tree		мөчир	710536
71056001	essential element, the ~ of	person	Vicf түшиг,Vicf тулгуур,Vicf багана	710560
71056002		principle	Vicf суурь үндэс	710560
72003901			арслан	720039
72004301	, anatomy ,		уруул	720043
72004302	of bowl, crater		ам амсар	720043
72004303	cheer		жудаггүй	720043
72004701			ликёр, жимсний арз	720047
72005901	италийн мөнгөн тэмдэгт		лир	720059
72006001			лиссабон хот	720060
72007601	light			720076
72010602	lead one`s life		амьдар, аж төр	720106
72010604	subsist		орш, амьдар	720106
72013301			гүрвэл	720133
72013401	lama glama		лама тэмээн гөрөөс	720134
72013501	, thing , carried, on vehicle, shipm, plane		ачаа тээш	720135
72013502	, technology , weight		ачаалал	720135
72013503	shipment batch , of sand, gravel		ачаа дүүрэн байна	720135
72013504	, electricity ,		цахилгаан ачаалал	720135
72013505	FIG			720135
72014401	SPORT, ball		хөөргөж шидсэн бөмбөг	720144
72014402	stroke		хөөргөж шидэх, өшиглөх	720144
72015601	person			720156
72015602	pub			720156
72018701	accommadate		түр байрлуул, түр суулга	720187
72018702	, law ,		давж заалд	720187
72019101	attic		дээвэрийн хөндий	720191
72019102	Usapartment		өрөөний өндрөлсөн хэсэг	720191
72019103	, architecture ,		бадралт баг бишгүүрийн тавцан	720191
72019501	of wood		гуалин дүнз	720195
72019502	written record		тэмдэглэл	720195
72019503	of ship			720195
72021401	, culinary , GB		үхэрийн зузаан гуяны мах	720214
72021601		person	ялхай	720216
72022101			лондон	720221
72025201	GB		жорлон	720252
72029801		branch	Цавч	720298
72030001	ruler		эзэнтэн захирагч ноён	720300
72030901	mislay	object	хая, гээ	720309
72030902	not have any longer		Xneg болго	720309
72030903	miss waste	chance	алд	720309
72030904	be defeated in GEN , law , politics , SPOT,	war , race, bet, election	ялагд	720309
72030905	los sight of	moving object	бараа тасар, далдар	720309
72030906	snake off get rid of	pursuer	салах хая	720309
72030907	go slow	minutes, seconds	хоцор	720309
72030908	cause to forfeit		хүнийг юмнаасаа салхад	720309
72031901	great deal		олон их зөндөө	720319
72031902	entire amount or selection		бүгд	720319
72031903	specifeic group of people			720319
72032401	moisy	bang , music.voice, crash,scream, laugh	чанга	720324
72033001	affection devotion		хайр дурлал	720330
72033003	object of affection		хайрт	720330
72034301	METEORL lowert point the temperature reaches		агаарын температурын доод цэг	720343
72034302	FIG low point		хамгийн доод төвшинд хүрэх	720343
72036701			үнэнч ханилгаатай	720367
72037101			адил талт жишүү дөрвөлжин  ромбо	720371
72037401			тос тосолгооны зүйл	720374
72037601	clarity		ойлгомжтой байдал	720376
72038401			бүүвээн дуу	720384
72038501	US wood		зүсмэл мод	720385
72039601			 үдийн хоол, өдрийн хоол	720396
72040201	GB		лурчир үйлдэрийн нохой	720402
72040801			архины донтон	720408
72041001	жимс		луугийн нүдэн	720410
72041201			хэвтэр хэвтэш	720412
72041301			тунгалгын шингэн	720413
72041401			хүнийг өөрсдийн дураар цээрлүүл	720414
72041601			лион хот	720416
72041701	, literature ,		уянгын шүлэг яруу найраг	720417
72042301			сүүн хүчлийн давс	720423
72042501		stockings	хүвэрдэггүй	720425
72043201	lie			720432
72043401	FML, beat		нүд	720434
72043402	censure	person, organization	зад шүүмжил	720434
72047101	tiredness		сульдах	720471
72047102	laziness		нозоорох	720471
72047103	peacefulness		бие тавигдах	720471
72047104	of air		нозоором байдал	720471
72047701			лазань	720477
72048201	of person, train		хоцрох	720482
72051001	saw			720510
72055401	gender		хүйс	720554
72055402	intercourse, one act		хурьцал, загас наадуулах, секс	720554
72055403	repeated		бэлгийн харьцаа	720554
72058601			алдар хүндтэй байх, од байх	720586
72059701			гүнлиг, гүнгийн хошуу	720597
72059702	POL		мужууд	720597
72060101			гуталтай	720601
72060501	HUM		сэтгэцийн эмч	720605
72060601			зэрвэс харах	720606
72061101	RAIL		зөрлөг, нөөц зам	720611
72061102	weatherproof coating		барилгын гадар өнгөлгөө	720611
72061301	not blind		хараатай сохор биш	720613
72061601	fabric		торго	720616
72061602	thread		торгон утас	720616
72061603	clothing		торгон хувцас	720616
72061604	of spider		аалзны шүлс	720616
72061605	GB, JUR		дээд зэрэглэлийн хуульч	720616
72061701		behave, dressed, elaborate, hostile	адилхан	720617
72062201	RELIG		итгэлийн эгч дүүс	720622
72062202	in feminism		эгч дүүсийн холбоо	720622
72063601			сэмхэн эргэлд, сэм гэт	720636
72063602			сэм гарч яв, холд	720636
72064001	release	rope cable	сулруулах тавь	720640
72064002	reduce	pace	саа, удаашруул	720640
72064003	loosen	control	зөөлрүүл, сулруул	720640
72065101		voice	нойрмог	720651
72065102		village	уйтгартай	720651
72065103		fresh air, wine	хүний нойр хүргэх	720651
72065201	of film, style		бишрүүлэм байдал	720652
72065202	of answer, person		овжин байдал	720652
72065203	of salesman		арга баширтай байдал	720652
72065204	of magician		гялалзуур	720652
72065205	of operation		үр дүнтэй	720652
72065601	hard work		хүнд хүчир ажил	720656
72065602	hard stroke		цохилт	720656
72065701			нойр	720657
72065801	mark		толбо, ором	720658
72066201	to hunt or shot snipe		хараалж агнах буудах	720662
72066202	to shoot at enemies from a hidden position		далдаас буудах	720662
72069001	for plug		эм залгуур	720690
72069301	becoming soft, of substance, surface		зөөлрөх	720693
72069302	of light, colour, outline		бүдгэрэх	720693
72069303	of water		зөөлрөх	720693
72069304	of character, attitude		уян хатан болгох	720693
72069305	FIN		бууралт	720693
72069601			эв санааны нэгдэл	720696
72070001		vibration	авианы шуугиан	720700
72070201	kind type		төрөл зүйл	720702
72070202	in vague description		төрөл, зүйл	720702
72070203	type of person		ямар янзын хүн	720702
72070204	COMPUT		эрэмбэлэх	720702
72070901	international signal of distress in code		олон улсын түгшүүрийн дохио	720709
72071301	immortal, essential		сэтгэл зүрх	720713
72071302	emotional appeal	performance	сэтгэл дутах	720713
72071303	person		гоморхүү хүн	720713
72071304	music		агсал хөгжим	720713
72075101		population	сийрэг	720751
72075102		vegetation, use	тарчиг	720751
72075103		hair	шингэн	720751
72075104		furnishings	цөөхөн	720751
72075105		resources	ховор, хомс	720751
72075106		information	хомс	720751
72075501	speed			720755
72076801	malice		хорсол	720768
72076802	vindictiveness		өш хонзон	720768
72076901			гайхамшигтай сайхан	720769
72077401	AUT		тогтворжуулагч	720774
72077402	AVIAT		хурд сааруулагч	720774
72077801		suburb, city	таруу байрласан	720778
72077802		handwriting	сарайсан	720778
72078601		glass, gold, sugar	утаслаг	720786
72078701			тагнуулын ажиллагаа	720787
72078801	of house, street		бохир байдал, заваан байдал	720788
72078802	of conditions, life		ядуу дорой байдал	720788
73000101		glance	хулгайн, сэм	730001
73000102		gesture, search, exit	нууц	730001
73000201	hang		дүүжил, өлгө	730002
73000202	float	balloon, feather	тогт	730002
73000301			илэг	730003
73000601	undergo, GEN	hunger	зов, шанла, зүдэр,амс, үз	730006
73000602	tolerate		тэс, тэвч, даа	730006
73000603				730006
73002401	, culinary ,		элсэн чихэр, саахар	730024
73002402	endearment		хонгор минь	730024
73003901	, literal ,		амиа хорлох, егүүтгэх	730039
73003902	FIG		хортой, хөнөөлтэй	730039
73005301	US			730053
73006501	amount of money		мөнгө	730065
73006502	calculation		нийлбэр	730065
73006503	total , literal ,		нийлбэр	730065
73008401			нар	730084
73012601	US petrol		өндөр октантай шатхуун	730126
74004201	, medicine , for cleaning		хөвөн бөмбөг, хөвөн бундуу	740042
74004202	specimen		арчдас	740042
74006801	GEN		тангарга өргө, тангаргал, андгайл	740068
74006802	to ~ at		хүнийг зүх	740068
74012401	, zoology ,		ураацай	740124
74018001	swell			740180
74019601			батцагаан, цагаан агч мод	740196
74019901			үгийн үе	740199
74020301	all contexts		бэлгэ тэмдэг	740203
74021701			жигд зэрэгцсэн хөдөлгөөн	740217
74023401			siphon	740234
74023501			Сири улс	740235
74023901	GEN		тогтолцоо, систем	740239
75000701	monarch		хаан, хатан хаан	750007
75000702	coin		паундын алтан зоос	750007
75001101	pig		мэгж	750011
75001501		Glycine max	шар буурцаг, буурцагана	750015
75001801			шал согтуу, шал умаахан	750018
75021301	shape		бөмбөрцөг	750213
75021302	planet		дэлхийн бөмбөрцөг	750213
75021303	field		хүрээ	750213
75021304	social circle		хүрээлэл	750213
75045801	on plant, tree		нахиа, гөлөг	750458
75045802	on potato		соёо	750458
75045803	, culinary ,		брюсель байцаа	750458
75054501	state registered nurse			750545
75054701	Social Security Administration			750547
75097401	cunning		зальжин	750974
75097402	secretive		бачтай, жоготой	750974
75097601	blow, with hand, on face		алгадалт	750976
75097602	with bat		цохилт	750976
75097603	sound, of object		хөндий чимээ	750976
75097604	by hand or person		тасхийлгэх, падхийлгэх	750976
75097605	loud kiss		шовхийлгэх	750976
75101401	mark, spot,		толбо	751014
75101402	streak		зураас	751014
75101403	defamation		муулсан, гүтгэсэн үг яриа	751014
75101404	, medicine ,	smear test		751014
75102901			инээмсэглэл	751029
75103601	loose shirt		ажлын сул цамц	751036
75103602	smocked dress, blouse		хуниастай сул даашинз	751036
75108501	small meal		хөнгөн зууш	751085
75108502	instead of meal		хөнгөн хоол	751085
75108503	crisps, peanuts etc		идээ	751085
75111101	, pejorative , GB, tell-tale		ховч, матаач	751111
75111102	devious person		зальтай хүн	751111
75114501			дээгүүр зантай хүн, хамраа сөхсөнг хүн , пээдгэр х	751145
75117701			гомдоосон үг, авир	751177
75119101			юмыг дэвтээх	751191
75120801			мэгшилт, цурхиралт, гэншилт	751208
75121801	US		хөл бөмбөг	751218
75124401	, chemistry ,		соод, натри бикарбонат	751244
75124402	also washing		угаалгын соод, хужир	751244
75124403	also water		хийжүүлсэн ус	751244
75124404	pop		хийжүүлсэн чихэрлэг ундаа	751244
75128801		ground, food	нойтон, нялцгай	751288
75128901	, music ,		соль	751289
75129001	earth		хөрс шороо	751290
75129002	country		газар нутаг	751290
75134101	gloomy		дүнсгэр, гонсгор	751341
75134102	dismal		баргар	751341
75134103	overcast		бүрхэг	751341
75136501	in short time		мөд, удахгүй, удалгүй	751365
75136502	quickly		төдөргүй, даруй	751365
75136503	early		эрт	751365
75136504	not long		дараахан	751365
75136505	rather		тэгмээргүй байна	751365
75137201	of bread		дүрсэн талх	751372
75137202	concession		ам хаах, нүд хуурах, аргалах	751372
75163201	timid	person	хулчгар	751632
75163202	bashful	person	бүрэг	751632
75163401	person		тайланд хүн	751634
75163402	language		тай хэл	751634
75163403	cat		сиамын муур	751634
75163501			сибирь	751635
75163701			өвчтөнгүүд	751637
75163702	GB, vomit		бөөлжис	751637
75166401			бүслэлт	751664
75166901	sieve	flour, soil, coal, wheat	шигш, элхэгд	751669
75166902	FIG, sort	data, eviddence, information	нягтлан шүү	751669
75170501			сикх	751705
75176701			нүгэл хилэнц	751767
75182101	bottle		даралтат бортого	751821
75182102	tube		шахуургат хоолой	751821
75182201	form of address		ноёнтон, эрхэм ээ	751822
75182202	emphatic		ёстой үнэн шүү, үгүй шүү	751822
75183001	put		дэргэд суулга	751830
75183002	GB , school , university ,	exam	ор, өг	751830
75185001			зургаа	751850
75191801			тэнгэр	751918
75199401			хүний оронд	751994
75208901	sterling			752089
75209001	piece of wood		саваа, тулгуур мод	752090
75209002	for kindling		мөчир, гишүү	752090
75209003	for lollipop		иш	752090
75209004	also walking		таяг	752090
75209005	rod shaped piece		хэрчим шохой	752090
75209006	in hockey		цохиур	752090
